year,month,carrier,airport,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,delay_per_flight,total_delay
2022,7,9E,ABE,33.0,2.0,0.92,1.0,0.08,0.0,0.0,0.0,0.0,129.0,98.0,23.0,8.0,0.0,0.0,3.7941176470588234,129.0
2022,7,9E,ABY,78.0,25.0,11.8,0.72,5.01,0.0,7.48,0.0,0.0,1664.0,887.0,52.0,224.0,0.0,501.0,21.063291139240505,1664.0
2022,7,9E,ACK,124.0,19.0,5.84,1.0,6.76,0.0,5.4,5.0,4.0,1523.0,388.0,35.0,511.0,0.0,589.0,12.184,1523.0
2022,7,9E,AEX,67.0,10.0,1.32,1.0,2.4,1.0,4.28,0.0,1.0,657.0,103.0,82.0,93.0,25.0,354.0,9.661764705882353,632.0
2022,7,9E,AGS,174.0,30.0,18.1,5.75,3.6,0.0,2.55,1.0,0.0,2462.0,1686.0,310.0,139.0,0.0,327.0,14.06857142857143,2462.0
2022,7,9E,ALB,114.0,16.0,3.7,1.82,2.33,0.0,8.15,5.0,0.0,1145.0,131.0,207.0,64.0,0.0,743.0,9.956521739130435,1145.0
2022,7,9E,ATW,17.0,3.0,1.69,0.0,1.31,0.0,0.0,0.0,0.0,73.0,43.0,0.0,30.0,0.0,0.0,4.055555555555555,73.0
2022,7,9E,AUS,37.0,4.0,3.0,1.0,0.0,0.0,0.0,3.0,0.0,301.0,279.0,22.0,0.0,0.0,0.0,7.921052631578948,301.0
2022,7,9E,AVL,59.0,13.0,3.82,1.0,6.0,0.0,2.18,7.0,0.0,630.0,195.0,20.0,321.0,0.0,94.0,10.5,630.0
2022,7,9E,AZO,70.0,10.0,7.93,1.0,1.0,0.0,0.07,0.0,1.0,477.0,392.0,64.0,15.0,0.0,6.0,6.71830985915493,477.0
2022,7,9E,BGM,31.0,6.0,2.47,0.0,2.53,0.0,1.0,0.0,0.0,219.0,150.0,0.0,51.0,0.0,18.0,6.84375,219.0
2022,7,9E,BGR,183.0,33.0,13.06,0.11,8.45,0.0,11.38,22.0,0.0,2615.0,633.0,22.0,974.0,0.0,986.0,14.21195652173913,2615.0
2022,7,9E,BHM,54.0,12.0,4.58,0.97,4.62,0.0,1.83,8.0,0.0,724.0,151.0,283.0,217.0,0.0,73.0,13.163636363636364,724.0
2022,7,9E,BMI,26.0,5.0,2.28,0.0,1.72,0.0,1.0,0.0,0.0,122.0,48.0,0.0,48.0,0.0,26.0,4.518518518518518,122.0
2022,7,9E,BNA,214.0,56.0,18.94,2.81,20.68,0.0,13.57,23.0,0.0,3797.0,1286.0,302.0,1125.0,0.0,1084.0,17.66046511627907,3797.0
2022,7,9E,BQK,88.0,13.0,6.09,0.66,2.13,0.0,4.12,0.0,1.0,846.0,276.0,136.0,40.0,0.0,394.0,9.50561797752809,846.0
2022,7,9E,BTV,176.0,31.0,16.58,2.0,6.5,0.0,5.92,14.0,0.0,1344.0,773.0,81.0,199.0,0.0,291.0,7.593220338983051,1344.0
2022,7,9E,BUF,177.0,24.0,8.62,1.4,8.53,0.0,5.45,14.0,0.0,1433.0,758.0,105.0,345.0,0.0,225.0,8.05056179775281,1433.0
2022,7,9E,BWI,111.0,21.0,7.47,0.0,6.59,0.0,6.94,11.0,0.0,1705.0,417.0,0.0,778.0,0.0,510.0,15.223214285714286,1705.0
2022,7,9E,CAE,29.0,14.0,1.16,0.68,8.0,0.0,4.16,1.0,0.0,1218.0,60.0,506.0,282.0,0.0,370.0,40.6,1218.0
2022,7,9E,CHA,116.0,30.0,11.04,0.41,8.85,0.0,9.7,0.0,1.0,1928.0,1076.0,17.0,347.0,0.0,488.0,16.478632478632477,1928.0
2022,7,9E,CHO,139.0,31.0,7.85,1.62,14.06,0.0,7.47,5.0,1.0,1747.0,455.0,242.0,564.0,0.0,486.0,12.478571428571428,1747.0
2022,7,9E,CHS,216.0,40.0,10.23,1.25,13.66,0.0,14.86,13.0,3.0,3671.0,909.0,104.0,647.0,0.0,2011.0,16.91705069124424,3671.0
2022,7,9E,CID,96.0,15.0,8.26,0.73,3.05,0.0,2.96,0.0,0.0,913.0,558.0,27.0,84.0,0.0,244.0,9.412371134020619,913.0
2022,7,9E,CLE,379.0,64.0,19.79,1.5,14.82,0.0,27.89,33.0,0.0,5613.0,1445.0,392.0,777.0,0.0,2999.0,14.771052631578947,5613.0
2022,7,9E,CLT,291.0,67.0,24.81,2.75,23.87,0.0,15.57,28.0,0.0,4614.0,1740.0,276.0,1320.0,0.0,1278.0,15.801369863013699,4614.0
2022,7,9E,CMH,31.0,5.0,2.01,0.0,2.99,0.0,0.0,0.0,0.0,349.0,164.0,0.0,185.0,0.0,0.0,10.90625,349.0
2022,7,9E,CRW,65.0,15.0,4.9,0.01,7.88,0.0,2.2,0.0,1.0,1027.0,381.0,2.0,312.0,0.0,332.0,15.56060606060606,1027.0
2022,7,9E,CSG,87.0,12.0,7.06,0.26,2.44,0.0,2.24,0.0,0.0,611.0,431.0,9.0,66.0,0.0,105.0,6.943181818181818,611.0
2022,7,9E,CWA,93.0,8.0,3.02,0.0,1.16,0.93,2.89,0.0,0.0,581.0,149.0,0.0,57.0,116.0,259.0,6.180851063829787,465.0
2022,7,9E,DAY,44.0,8.0,3.36,0.24,3.92,0.0,0.48,0.0,0.0,504.0,127.0,11.0,318.0,0.0,48.0,11.2,504.0
2022,7,9E,DCA,171.0,32.0,9.28,2.81,17.36,0.0,2.55,13.0,0.0,2403.0,1409.0,174.0,614.0,0.0,206.0,13.970930232558139,2403.0
2022,7,9E,DHN,87.0,21.0,8.49,2.13,1.04,0.0,9.34,0.0,0.0,2058.0,1121.0,88.0,49.0,0.0,800.0,23.386363636363637,2058.0
2022,7,9E,DLH,31.0,3.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,444.0,325.0,0.0,96.0,0.0,23.0,13.875,444.0
2022,7,9E,DSM,202.0,32.0,15.42,0.0,6.25,0.0,10.33,2.0,0.0,2151.0,859.0,0.0,292.0,0.0,1000.0,10.596059113300493,2151.0
2022,7,9E,EVV,36.0,6.0,4.91,0.0,0.54,0.0,0.56,1.0,0.0,339.0,271.0,0.0,20.0,0.0,48.0,9.162162162162161,339.0
2022,7,9E,EWR,121.0,14.0,2.76,1.0,9.26,0.0,0.97,19.0,0.0,1353.0,84.0,147.0,980.0,0.0,142.0,11.09016393442623,1353.0
2022,7,9E,FAY,36.0,4.0,1.81,0.0,2.19,0.0,0.0,0.0,0.0,149.0,37.0,0.0,112.0,0.0,0.0,4.027027027027027,149.0
2022,7,9E,FSD,33.0,6.0,1.94,0.0,0.0,0.0,4.06,0.0,0.0,701.0,185.0,0.0,0.0,0.0,516.0,20.61764705882353,701.0
2022,7,9E,GNV,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,7,9E,GPT,31.0,5.0,2.0,0.0,1.04,0.0,1.96,1.0,0.0,495.0,114.0,0.0,33.0,0.0,348.0,15.46875,495.0
2022,7,9E,GRR,78.0,19.0,7.9,0.0,5.62,0.0,5.48,12.0,0.0,1590.0,785.0,0.0,244.0,0.0,561.0,20.126582278481013,1590.0
2022,7,9E,GSO,103.0,32.0,12.44,2.53,8.62,0.0,8.42,6.0,0.0,2288.0,802.0,191.0,382.0,0.0,913.0,22.0,2288.0
2022,7,9E,GSP,100.0,21.0,6.02,0.31,5.23,0.0,9.44,10.0,0.0,1485.0,350.0,27.0,214.0,0.0,894.0,14.702970297029703,1485.0
2022,7,9E,GTR,83.0,20.0,7.34,0.33,5.48,0.0,6.86,1.0,0.0,1718.0,1079.0,16.0,154.0,0.0,469.0,20.452380952380953,1718.0
2022,7,9E,HPN,50.0,8.0,4.18,0.9,2.52,0.0,0.39,1.0,0.0,599.0,281.0,206.0,96.0,0.0,16.0,11.745098039215685,599.0
2022,7,9E,IAD,93.0,20.0,7.36,0.0,9.1,0.0,3.54,10.0,0.0,1092.0,487.0,0.0,372.0,0.0,233.0,11.617021276595745,1092.0
